date,year,month,temperature,rainfall,humidity,evaporation,solar_radiation,wind_speed,groundwater_level,salinity,groundwater_temperature,ndvi,soil_moisture,desertification_risk,latitude,longitude,aridity_index,water_stress_index,standardized_precipitation_index
1980-01-01,1980,1,13.39408547542022,42.256714166592744,66.60539146236856,5.545308164215106,116.66250451675562,4.432085112413522,34.55654981296181,1265.0536107165321,20.340571914707727,0.16347197004201391,0.14207437624748834,0.40822005101217423,31.3525,27.2373,1.806299041310727,0.12819531652031396,
1980-02-01,1980,2,13.322921027616356,0.0,74.09630251605962,6.175938808673053,142.33627907627334,5.75458825511158,34.53052298779885,1256.8985943884475,20.305615462530675,0.14778881280948747,0.06580362707767197,0.6006944500577821,31.3525,27.2373,0.0,6.175938808673053,
1980-03-01,1980,3,17.665839368581246,23.2928807730288,79.69050751856372,8.035255083291178,170.9786609819614,6.966207994232448,33.82662168443607,1245.5291492727288,20.83663452742214,0.22222510818024488,0.0815606451503819,0.44309620915134806,31.3525,27.2373,0.8419365291147246,0.3307658386984029,
1980-04-01,1980,4,23.241453741534446,33.67032666605274,90.0,7.736492365784403,213.6817884622552,6.614225727664189,33.526426782053186,1277.5629493461397,19.91784971786665,0.275603073496795,0.12454216517011557,0.3187030585440689,31.3525,27.2373,1.0129017499611466,0.2231444901082962,
1980-05-01,1980,5,24.078523925497997,0.0,82.49145619902612,8.419382619948115,253.9664882388205,5.908430884197028,33.033244974478265,1337.5141103078035,20.025722561245452,0.26854386631420873,0.061779720515636925,0.47035551585922314,31.3525,27.2373,0.0,8.419382619948115,
1980-06-01,1980,6,27.006756707766986,0.0,77.18683325543094,7.188269226285859,248.44064796297627,5.727053084450851,32.677208966680666,1311.562200560813,21.830980998974304,0.32522037759130557,0.10021837572573714,0.4253843571025949,31.3525,27.2373,0.0,7.188269226285859,
1980-07-01,1980,7,31.342583067913303,11.881727792157106,72.08113381612736,5.328571241736499,260.26970986547593,4.286932699858135,32.27036081689866,1370.8740178272187,22.572149461310065,0.2486705355251767,0.11641668224884848,0.49946673214852244,31.3525,27.2373,0.28739684147550815,0.41365345765035805,
1980-08-01,1980,8,28.80958574275075,0.0,61.408489969439394,4.771156544694046,245.5308439579353,3.314341825970974,31.68165964853774,1287.9482297104805,23.379844212307134,0.23311917707334068,0.08493189209329868,0.5383752571811796,31.3525,27.2373,0.0,4.771156544694046,
1980-09-01,1980,9,23.65494610531709,10.075486885178638,53.92011702661727,3.3720786947498653,232.19176169071625,2.4303057317597716,31.233325403316368,1278.2752136362892,24.43146357014523,0.19359399432987243,0.13338652572784146,0.4628704562050668,31.3525,27.2373,0.29937611112640666,0.3044632466011427,
1980-10-01,1980,10,21.476608078454735,0.0,52.154600603660086,3.3523594700488877,205.596300493356,3.338048015299265,30.465967731798774,1286.6731794152497,24.67492775620167,0.15451370203959636,0.1272325468681882,0.5383990413423522,31.3525,27.2373,0.0,3.3523594700488877,
1980-11-01,1980,11,15.665848152937567,24.874069224476063,54.65654723891049,3.541329617456694,176.8480141990692,2.1500970736228098,30.063783245700904,1201.5679983817347,24.47494136631781,0.18029280372918896,0.1695253994295314,0.4050671795186087,31.3525,27.2373,0.9691504865242148,0.13686790379716177,
1980-12-01,1980,12,12.733483213298031,31.79024011575313,60.2777777206273,3.9252073380036494,138.46680945137905,4.219420634806869,29.612735821872455,1185.099335243668,22.45225961379333,0.15052400021871323,0.1638014498081082,0.42614978213718235,31.3525,27.2373,1.398388439531225,0.11970657500973579,-0.12179551396895694
1981-01-01,1981,1,12.965630202397163,48.475697293823494,70.83051817454792,5.257580067073014,126.16182972094187,4.499918474244223,29.194228927742873,1266.1743844655552,22.671045338840806,0.1969833011619394,0.16434600384984877,0.3343894318692698,31.3525,27.2373,2.1107932535099154,0.10626591144030963,0.023487944118554593
